INDICATOR,CTY_CODE,EVENT_NR,EVENT_NR_CR,START_DATE,PEAK_DATE,END_DATE,MAX_EXT_ON,DURATION,SEVERITY,INTENSITY,AVERAGE_AREA,WIDEST_AREA_PERC,SCORE,GRP_ID
Spei-3,AFG,1,1,1952-11-01,1952-12-01,1953-05-01,1952-12-01,7,5.55,0.79,18.25,39.09,3,1
Spei-3,AFG,10,10,1966-07-01,1966-07-01,1966-08-01,1966-07-01,2,3.15,1.58,56.59,69.55,10,13
Spei-3,AFG,11,11,1967-01-01,1967-01-01,1967-03-01,1967-01-01,3,4.34,1.45,47.73,95.91,13,13
Spei-3,AFG,12,12,1970-04-01,1970-06-01,1970-08-01,1970-06-01,5,8.32,1.66,62.91,95.0,15,14
Spei-3,AFG,13,13,1970-10-01,1971-07-01,1971-08-01,1971-07-01,11,21.54,1.96,73.72,95.0,19,14
Spei-3,AFG,14,14,1973-11-01,1973-11-01,1974-01-01,1973-11-01,3,5.03,1.68,67.42,90.0,13,15
Spei-3,AFG,15,15,1976-08-01,1976-09-01,1976-12-01,1976-09-01,5,3.58,0.72,24.36,52.27,3,16
Spei-3,AFG,16,16,1977-03-01,1977-04-01,1977-09-01,1977-04-01,7,11.02,1.57,53.31,97.72,16,17
Spei-3,AFG,17,17,1978-04-01,1978-06-01,1978-06-01,1978-06-01,3,3.49,1.16,30.3,41.36,5,17
Spei-3,AFG,18,18,1980-06-01,1980-09-01,1980-09-01,1980-09-01,4,5.66,1.42,40.34,46.82,11,18
Spei-3,AFG,19,19,1983-11-01,1983-11-01,1984-09-01,1983-11-01,11,12.63,1.15,36.81,84.58,11,19
Spei-3,AFG,2,2,1955-01-01,1955-02-01,1955-04-01,1955-02-01,4,6.72,1.68,51.7,90.91,15,4
Spei-3,AFG,20,20,1985-03-01,1985-04-01,1985-09-01,1985-04-01,7,6.17,0.88,34.68,72.73,8,20
Spei-3,AFG,21,21,1988-06-01,1988-07-01,1988-07-01,1988-07-01,2,2.25,1.12,44.09,47.27,5,23
Spei-3,AFG,22,22,1990-09-01,1990-11-01,1990-12-01,1990-11-01,4,4.58,1.15,40.72,82.73,9,24
Spei-3,AFG,23,23,1997-01-01,1997-02-01,1997-03-01,1997-02-01,3,4.51,1.5,58.18,90.91,13,25
Spei-3,AFG,24,24,1998-11-01,1998-12-01,1999-02-01,1998-12-01,4,7.34,1.83,60.63,99.55,16,26
Spei-3,AFG,25,25,1999-05-01,1999-06-01,1999-10-01,1999-06-01,6,7.54,1.26,44.93,64.55,10,26
Spei-3,AFG,26,26,2000-02-01,2000-06-01,2000-07-01,2000-06-01,6,14.18,2.36,90.76,100.0,20,27
Spei-3,AFG,27,27,2001-02-01,2001-06-01,2002-11-01,2001-05-01,22,26.14,1.19,41.11,99.09,16,28
Spei-3,AFG,28,28,2004-03-01,2004-04-01,2004-07-01,2004-04-01,5,8.52,1.7,62.09,96.36,17,30
