INDICATOR,CTY_CODE,EVENT_NR,EVENT_NR_CR,START_DATE,PEAK_DATE,END_DATE,MAX_EXT_ON,DURATION,SEVERITY,INTENSITY,AVERAGE_AREA,WIDEST_AREA_PERC,SCORE,GRP_ID
Spei-12,AFG,1,1,1955-02-01,1955-04-01,1956-02-01,1955-04-01,13,14.28,1.1,31.22,62.73,8,4
Spei-12,AFG,10,10,2011-07-01,2011-08-01,2011-10-01,2011-08-01,4,4.12,1.03,54.55,57.27,6,37
Spei-12,AFG,2,2,1966-08-01,1966-08-01,1967-05-01,1966-08-01,10,7.69,0.77,19.0,28.18,2,13
Spei-12,AFG,3,3,1970-06-01,1971-03-01,1972-03-01,1971-03-01,22,49.42,2.25,76.49,100.0,21,14
Spei-12,AFG,4,4,1977-04-01,1977-07-01,1979-03-01,1977-07-01,24,21.32,0.89,28.24,71.36,7,17
Spei-12,AFG,5,5,1984-04-01,1986-01-01,1988-01-01,1986-01-01,46,39.95,0.87,31.8,74.55,9,22
Spei-12,AFG,6,6,1999-04-01,2001-12-01,2003-04-01,2002-01-01,49,91.77,1.87,65.15,100.0,20,29
Spei-12,AFG,7,7,2004-03-01,2004-09-01,2005-01-01,2004-05-01,11,15.78,1.43,55.37,73.64,12,30
Spei-12,AFG,8,8,2006-03-01,2006-06-01,2007-02-01,2006-06-01,12,16.71,1.39,51.78,78.18,12,33
Spei-12,AFG,9,9,2008-03-01,2008-07-01,2009-03-01,2009-01-01,13,18.2,1.4,53.57,62.73,12,36
Spei-12,AGO,11,1,1958-12-01,1959-01-01,1959-04-01,1958-12-01,5,3.84,0.77,25.22,48.55,3,42
Spei-12,AGO,12,2,1964-11-01,1964-11-01,1965-08-01,1964-11-01,10,6.16,0.62,28.38,51.93,5,43
Spei-12,AGO,13,3,1972-02-01,1972-02-01,1973-01-01,1972-02-01,12,11.78,0.98,30.19,41.79,7,47
Spei-12,AGO,14,4,1980-03-01,1982-03-01,1986-01-01,1984-03-01,71,81.26,1.14,33.77,53.14,14,54
Spei-12,AGO,15,5,1987-04-01,1987-11-01,1988-07-01,1987-11-01,16,13.38,0.84,23.91,45.65,7,55
Spei-12,AGO,16,6,1990-03-01,1990-09-01,1991-02-01,1990-09-01,12,19.88,1.66,41.36,52.42,14,56
Spei-12,AGO,17,7,1992-11-01,1992-12-01,1993-03-01,1992-12-01,5,6.4,1.28,36.14,51.21,9,57
Spei-12,AGO,18,8,2003-03-01,2003-10-01,2006-03-01,2003-10-01,37,31.9,0.86,29.28,49.03,9,62
Spei-12,AGO,19,9,2015-04-01,2016-03-01,2016-12-01,2016-03-01,21,35.06,1.67,37.91,49.28,15,70
Spei-12,ALB,20,1,1953-12-01,1953-12-01,1954-10-01,1954-01-01,11,6.72,0.61,34.85,58.33,3,72
Spei-12,ALB,21,2,1961-12-01,1962-01-01,1962-02-01,1962-01-01,3,3.46,1.15,44.44,58.33,4,78
Spei-12,ALB,22,3,1975-09-01,1975-10-01,1976-10-01,1976-03-01,14,13.95,1.0,41.67,83.33,7,86
Spei-12,ALB,23,4,1985-09-01,1985-10-01,1985-10-01,1985-09-01,2,2.73,1.36,79.16,83.33,7,92
Spei-12,ALB,24,5,1987-02-01,1990-10-01,1991-06-01,1991-01-01,53,61.18,1.15,53.93,100.0,14,98
Spei-12,ALB,25,6,1992-03-01,1993-10-01,1995-08-01,1993-12-01,42,57.21,1.36,66.07,100.0,13,99
Spei-12,ALB,26,7,1997-11-01,1997-12-01,1998-08-01,1998-01-01,10,10.06,1.01,43.34,66.67,5,100
Spei-12,ALB,27,8,2000-06-01,2002-05-01,2002-09-01,2002-07-01,28,37.54,1.34,65.48,100.0,12,103
Spei-12,ALB,28,9,2003-08-01,2003-09-01,2004-04-01,2003-09-01,9,12.15,1.35,64.82,91.67,10,105
Spei-12,ALB,29,10,2007-03-01,2007-08-01,2009-01-01,2007-09-01,23,33.42,1.45,71.01,100.0,14,106
Spei-12,ALB,30,11,2011-10-01,2012-01-01,2012-12-01,2012-01-01,15,25.88,1.73,81.11,100.0,17,108
Spei-12,ALB,31,12,2016-01-01,2016-02-01,2016-06-01,2016-03-01,6,4.79,0.8,36.11,58.33,3,110
Spei-12,ARE,32,1,1953-01-01,1953-01-01,1954-10-01,1954-10-01,22,27.2,1.24,97.73,100.0,15,112
Spei-12,ARE,33,2,1971-10-01,1971-10-01,1972-02-01,1971-12-01,5,3.73,0.75,60.0,100.0,3,120
Spei-12,ARE,34,3,1973-04-01,1973-05-01,1974-03-01,1973-06-01,12,9.64,0.8,45.83,100.0,4,121
Spei-12,ARE,35,4,1979-08-01,1981-02-01,1982-01-01,1982-01-01,30,35.72,1.19,75.0,100.0,13,124
Spei-12,ARE,36,5,1984-03-01,1984-04-01,1986-11-01,1985-12-01,33,30.82,0.93,54.55,100.0,9,127
Spei-12,ARE,37,6,1999-03-01,2000-03-01,2005-01-01,2004-11-01,71,69.26,0.98,57.04,100.0,12,134
Spei-12,ARE,38,7,2016-01-01,2016-12-01,2016-12-01,2016-12-01,12,12.24,1.02,75.0,100.0,8,140
Spei-12,ARG,39,1,1960-12-01,1962-12-01,1963-08-01,1962-11-01,33,29.43,0.89,32.99,70.48,12,144
Spei-12,ARG,40,2,1967-06-01,1967-07-01,1967-09-01,1967-07-01,4,3.87,0.97,28.33,34.11,4,148
Spei-12,ARG,41,3,1968-05-01,1968-10-01,1972-10-01,1968-10-01,54,54.89,1.02,36.02,65.71,15,149
Spei-12,ARG,42,4,1988-11-01,1989-03-01,1990-03-01,1989-03-01,17,30.39,1.79,55.49,73.63,17,153
Spei-12,ARG,43,5,1995-12-01,1996-01-01,1996-11-01,1996-01-01,12,11.68,0.97,24.67,32.22,6,155
Spei-12,ARG,44,6,2004-01-01,2004-03-01,2005-02-01,2004-03-01,14,11.54,0.82,29.94,43.47,7,157
Spei-12,ARG,45,7,2008-04-01,2009-08-01,2010-02-01,2009-06-01,23,41.71,1.81,57.74,79.39,21,159
Spei-12,ARG,46,8,2011-12-01,2013-12-01,2014-06-01,2013-12-01,31,29.64,0.96,33.64,53.92,11,162
Spei-12,ARM,47,1,1952-10-01,1953-06-01,1953-12-01,1953-06-01,15,18.75,1.25,59.49,100.0,10,165
Spei-12,ARM,48,2,1955-02-01,1955-06-01,1955-12-01,1955-07-01,11,9.08,0.83,34.97,53.85,4,166
Spei-12,ARM,49,3,1958-02-01,1958-06-01,1959-04-01,1958-06-01,15,13.88,0.93,40.0,76.92,5,169
Spei-12,ARM,50,4,1961-04-01,1961-10-01,1963-04-01,1962-06-01,25,43.6,1.74,78.15,100.0,19,170
Spei-12,ARM,51,5,1965-03-01,1965-03-01,1965-09-01,1965-03-01,7,6.16,0.88,28.57,53.85,3,171
Spei-12,ARM,52,6,1970-05-01,1971-03-01,1972-04-01,1971-04-01,24,30.77,1.28,57.05,100.0,12,172
Spei-12,ARM,53,7,1979-04-01,1979-05-01,1980-02-01,1979-06-01,11,8.28,0.75,26.57,69.23,2,174
Spei-12,ARM,54,8,1980-10-01,1981-01-01,1981-06-01,1981-01-01,9,12.46,1.38,68.38,100.0,9,175
Spei-12,ARM,55,9,1985-09-01,1986-04-01,1986-10-01,1986-04-01,14,16.31,1.17,47.25,100.0,9,178
Spei-12,ARM,56,10,1987-06-01,1987-07-01,1987-11-01,1987-07-01,6,3.89,0.65,16.67,46.15,1,179
Spei-12,ARM,57,11,1989-06-01,1989-08-01,1992-01-01,1989-12-01,32,32.17,1.01,40.38,100.0,10,180
Spei-12,ARM,58,12,1999-01-01,2001-02-01,2002-05-01,2001-05-01,41,56.51,1.38,60.04,100.0,16,184
Spei-12,ARM,59,13,2012-08-01,2012-10-01,2013-04-01,2012-11-01,9,6.87,0.76,21.37,38.46,2,186
Spei-12,ARM,60,14,2014-01-01,2014-05-01,2015-03-01,2014-08-01,15,17.29,1.15,48.72,84.62,8,187
Spei-12,ARU,1547,1,1964-10-01,1965-06-01,1966-01-01,1964-12-01,16,14.76,0.92,21.19,27.1,8,192
Spei-12,ARU,1548,2,1967-11-01,1968-03-01,1970-04-01,1968-02-01,30,26.86,0.9,23.52,35.87,9,193
Spei-12,ARU,1549,3,1976-08-01,1977-02-01,1977-09-01,1977-02-01,14,19.48,1.39,25.72,33.33,13,197
Spei-12,ARU,1550,4,1980-12-01,1981-06-01,1982-10-01,1982-04-01,23,26.17,1.14,26.6,32.31,11,201
Spei-12,ARU,1551,5,1987-08-01,1987-08-01,1988-07-01,1988-07-01,12,9.07,0.76,19.83,24.25,5,206
Spei-12,ARU,1552,6,1990-08-01,1993-07-01,1995-11-01,1993-07-01,64,49.66,0.78,20.86,32.37,11,212
Spei-12,ARU,1553,7,2003-07-01,2003-09-01,2004-05-01,2003-09-01,11,9.24,0.84,25.96,32.57,7,216
Spei-12,ARU,1554,8,2012-02-01,2012-07-01,2013-05-01,2012-07-01,16,15.59,0.97,31.04,40.86,11,221
Spei-12,AUS,61,1,1952-01-01,1952-02-01,1952-12-01,1952-02-01,12,11.99,1.0,38.91,53.68,9,223
Spei-12,AUS,62,2,1957-10-01,1958-02-01,1959-01-01,1958-02-01,16,16.91,1.06,41.91,61.41,11,225
Spei-12,AUS,63,3,1961-08-01,1961-12-01,1963-02-01,1961-12-01,19,15.21,0.8,31.55,60.47,10,226
Spei-12,AUS,64,4,1964-06-01,1965-11-01,1966-09-01,1965-11-01,28,20.39,0.73,29.56,60.55,8,229
Spei-12,AUS,65,5,1970-02-01,1970-03-01,1971-02-01,1970-03-01,13,13.1,1.01,39.2,50.7,9,233
Spei-12,AUS,66,6,1972-12-01,1972-12-01,1973-05-01,1972-12-01,6,4.85,0.81,28.4,52.57,5,234
Spei-12,AUS,67,7,1983-02-01,1983-02-01,1983-10-01,1983-02-01,9,5.76,0.64,27.04,54.04,5,238
Spei-12,AUS,68,8,1992-01-01,1992-01-01,1992-08-01,1992-02-01,8,3.99,0.5,29.42,37.91,4,242
Spei-12,AUS,69,9,1994-10-01,1994-12-01,1995-06-01,1994-12-01,9,6.45,0.72,26.39,51.35,5,243
Spei-12,AUS,70,10,2002-10-01,2003-02-01,2003-12-01,2003-02-01,15,18.52,1.23,45.5,73.63,14,244
Spei-12,AUS,71,11,2005-02-01,2005-05-01,2006-02-01,2005-05-01,13,15.28,1.18,41.46,65.5,11,245
Spei-12,AUS,72,12,2007-04-01,2008-06-01,2008-12-01,2008-06-01,21,17.76,0.85,36.95,49.66,9,249
Spei-12,AUS,73,13,2013-01-01,2013-04-01,2016-09-01,2013-04-01,45,49.64,1.1,39.03,65.65,15,251
Spei-12,AUT,74,1,1953-11-01,1953-12-01,1954-04-01,1953-12-01,6,6.28,1.05,31.62,53.85,6,255
Spei-12,AUT,75,2,1964-01-01,1964-09-01,1964-09-01,1964-09-01,9,9.72,1.08,40.46,61.54,6,259
Spei-12,AUT,76,3,1968-04-01,1968-05-01,1968-07-01,1968-05-01,4,4.3,1.07,43.59,61.54,4,260
Spei-12,AUT,77,4,1971-08-01,1972-03-01,1972-06-01,1972-03-01,11,22.64,2.06,75.76,100.0,17,264
Spei-12,AUT,78,5,1973-07-01,1973-08-01,1974-11-01,1973-08-01,17,14.92,0.88,29.26,64.1,5,264
Spei-12,AUT,79,6,1976-06-01,1976-07-01,1977-05-01,1976-08-01,12,18.74,1.56,54.91,100.0,13,267
Spei-12,AUT,80,7,1978-01-01,1978-04-01,1979-03-01,1978-04-01,15,15.62,1.04,43.08,74.36,8,269
Spei-12,AUT,81,8,1983-10-01,1984-06-01,1985-06-01,1984-01-01,21,22.34,1.06,39.93,84.62,9,272
Spei-12,AUT,82,9,1990-08-01,1990-09-01,1991-06-01,1990-09-01,11,11.55,1.05,37.53,71.79,7,276
Spei-12,AUT,83,10,1992-07-01,1993-04-01,1994-03-01,1992-07-01,21,22.26,1.06,41.76,84.62,9,277
Spei-12,AUT,84,11,1994-10-01,1994-12-01,1995-07-01,1994-10-01,10,9.64,0.96,38.21,64.1,4,278
Spei-12,AUT,85,12,1998-07-01,1998-07-01,1998-09-01,1998-07-01,3,2.49,0.83,32.48,53.85,3,281
Spei-12,AUT,86,13,2002-06-01,2002-07-01,2002-07-01,2002-07-01,2,2.09,1.05,38.46,38.46,4,283
Spei-12,AUT,87,14,2003-08-01,2003-12-01,2004-07-01,2004-01-01,12,24.27,2.02,75.76,100.0,16,284
Spei-12,AUT,88,15,2007-04-01,2007-06-01,2007-11-01,2007-06-01,8,9.72,1.21,48.08,82.05,7,286
Spei-12,AUT,89,16,2011-08-01,2011-11-01,2013-01-01,2011-11-01,18,24.72,1.37,58.97,94.87,13,288
Spei-12,AZE,100,11,2012-10-01,2014-08-01,2015-09-01,2014-08-01,36,30.42,0.85,34.38,93.33,9,325
Spei-12,AZE,90,1,1953-02-01,1953-06-01,1953-11-01,1953-06-01,10,15.28,1.53,70.0,97.78,13,291
Spei-12,AZE,91,2,1955-01-01,1955-04-01,1955-10-01,1955-04-01,10,10.76,1.08,54.22,95.56,8,292
Spei-12,AZE,92,3,1958-05-01,1958-06-01,1959-01-01,1958-06-01,9,5.04,0.56,21.23,51.11,1,293
Spei-12,AZE,93,4,1961-03-01,1961-08-01,1963-04-01,1961-09-01,26,33.52,1.29,55.38,95.56,13,294
